,High,Low,Open,Close,Volume
2024/1/4,53222222,50000000,53000000,52222221,65
2024/1/5,55222222,30000000,55222222,38776666,737
2024/1/6,39777777,36666666,39777774,37555555,573
2024/1/7,49990000,37000000,39777777,37999998,90
2024/1/8,37999999,35000000,37666666,35555553,103
2024/1/9,35555555,31000000,34444443,31111111,177
2024/1/10,32222222,29999998,32222222,31111111,366
2024/1/11,55222200,29999999,33333333,30999999,128
2024/1/12,55222200,31000000,31000000,38221999,402
2024/1/13,38888888,23822111,38888888,37770776,345
2024/1/14,37777777,33333333,36666666,34444444,65
2024/1/15,38000000,33333333,34000000,34438884,34
2024/1/16,34400000,31111111,34400000,32221111,19
2024/1/17,34328888,31200000,34328888,32189999,26
2024/1/18,38000000,31000000,32111110,32109954,76
2024/1/19,32109953,31000000,32109952,31999997,56
2024/1/20,31999996,28888888,31999995,29999999,34
2024/1/21,29999999,28888888,29988888,29888888,33
2024/1/22,32211110,28888888,29999998,29999999,63
2024/1/23,55222200,28888887,29999998,29999998,115
2024/1/28,41111111,33000000,36000000,36666666,275
2024/1/29,55322222,36666636,36666636,36999998,95
2024/1/31,36998888,36998888,36998888,36998888,2
2024/2/1,60000000,36666666,36999998,47222088,67
2024/2/2,55322222,38888888,47111111,45555555,44
2024/2/3,47209999,32000000,47209999,47200000,64
2024/2/4,47000000,41111111,46999999,46885555,70
2024/2/5,46886855,44000000,46886855,44980000,36
2024/2/6,44998888,43333333,44998880,44888888,37
2024/2/7,52333333,40000000,40000000,49990000,36
2024/2/8,44998883,42999999,44998800,44998882,40
2024/2/9,45555555,44000000,44998888,45555555,19
2024/2/10,44999999,42000000,44998882,44979999,30
2024/2/11,46886844,44000000,44500000,46555444,97
2024/2/12,47210000,44999999,46444433,47210000,34
2024/2/13,55555555,44444444,44444444,46500000,17
2024/2/14,46550000,44999999,45000000,45500000,12
2024/2/15,46999998,42222222,46550499,45333333,62
2024/2/16,45554444,40000000,40000000,45333333,35
2024/2/20,48888888,48888888,48888888,48888888,4
2024/2/21,56500000,49988888,49988888,56500000,95
2024/2/22,66666666,55555555,56650000,62879979,30
2024/2/23,62880000,60000000,62855555,61097990,40
2024/2/24,61097999,57777777,61097999,59998990,26
2024/2/25,77777777,56666666,58888887,77777777,26
2024/2/26,62868885,57777777,58879999,58880000,38
2024/2/27,58880000,50000000,50000000,58833333,11
2024/2/28,59999999,55550000,58848887,58838888,24
2024/2/29,58888888,58300000,58300000,58869999,26
2024/3/1,58888888,55555555,58888888,58880000,25
2024/3/2,58879999,58868805,58877777,58868806,20
2024/3/3,60000000,58000000,58868808,58847076,24
2024/3/4,59999999,57777776,58555525,58800000,30
2024/3/5,58799999,50000000,58798886,58775554,35
2024/3/6,58775555,58000000,58000000,58555554,22
2024/3/7,58444444,57550000,58444444,57550000,24
2024/3/8,58788888,48888888,57549999,56666664,62
2024/3/9,56666665,55488884,56666511,55488884,46
2024/3/10,55555555,53999999,55479999,55555555,42
2024/3/11,55255555,54444444,55255554,54990000,31
2024/3/12,54977777,53000000,54977777,54869990,24
2024/3/13,55111111,54000000,54966600,54277769,36
2024/3/14,54266666,52222222,54266666,52880000,41
2024/3/15,58888888,50999999,51666666,51888887,95
2024/3/16,54977775,48888888,51888866,51877777,48
2024/3/17,54277777,48888888,51878880,51866640,43
2024/3/18,51861111,51000000,51000000,51849998,16
2024/3/19,51849990,44444444,51849990,51109999,26
2024/3/20,52999999,49500000,51109998,49699999,29
2024/3/21,49699980,48888888,49699979,49666660,14
2024/3/22,53000000,48990000,49666658,49666100,57
2024/3/23,48999999,48988888,48988888,48999980,4
2024/4/1,56666665,46555441,46659900,46555441,54
2024/4/2,46544443,46205551,46544443,46205551,16
2024/4/3,46544444,45555554,46000000,45555554,21
2024/4/4,48000000,40000000,45555555,46554300,59
2024/4/5,48999999,44444444,48999999,46658888,23
2024/4/6,57549879,42222222,57549879,47255555,40
2024/4/7,48378888,46600000,46658888,46659995,19
2024/4/10,45555554,42000000,45555550,44444444,8
2024/4/11,65999999,45555511,65999999,45555555,31
2024/4/12,48999999,46000000,48999999,46480000,22
2024/4/13,58566666,45555555,47255555,47222221,15
2024/4/14,46999999,45555555,46555555,46511111,12
2024/4/15,54255550,45555555,46500000,46509899,9
2024/4/16,47300000,45555555,47300000,47212121,14
2024/4/17,47212120,45555555,47000000,47200000,9
2024/4/18,47212119,45550000,47200000,45550000,46
2024/4/19,50000000,44000000,45000000,44000000,30
2024/4/20,45555444,41111111,43000000,42222222,29
2024/4/21,43999998,39999999,43000000,42400000,21
2024/4/22,47111110,42888888,43888887,42888888,14
