,High,Low,Open,Close,Volume
2024/1/22,366655554,359999999,366200000,366200000,10
2024/1/24,366199999,365000000,365555555,366199999,24
2024/1/25,388850000,365999990,365999999,388850000,11
2024/1/26,365999999,365999999,365999999,365999999,2
2024/1/27,365999555,361100000,365999555,361100000,4
2024/1/28,361000000,360999999,360999999,361000000,3
2024/2/1,359999999,358888887,358888887,359999999,3
2024/2/2,355555555,355555555,355555555,355555555,1
2024/2/4,360000000,355555553,355555553,360000000,141
2024/2/6,399999999,361000000,361000000,399999999,155
2024/2/10,400000000,399999998,399999998,400000000,4
2024/2/11,412000000,399999999,399999999,412000000,2
2024/2/12,311100000,300000000,311100000,300000000,6
2024/2/14,311111111,250000000,309888888,311111111,426
2024/2/15,311111111,288888887,298000000,311111111,519
2024/2/16,299999999,299999996,299999996,299999999,18
2024/2/17,340000000,298888888,298888888,340000000,291
2024/2/18,433333333,355555555,355555555,433333333,11
2024/2/19,433333330,400000000,433333330,410000000,118
2024/2/20,421000000,380000000,421000000,388855555,22
2024/2/21,355549999,355549999,355549999,355549999,2
2024/2/22,355550000,326666666,349999999,333333333,157
2024/2/23,348888888,310000000,332999988,310000000,82
2024/2/24,377766660,329999999,329999999,377766660,9
2024/2/25,332999999,318000000,332999999,318888888,108
2024/2/26,325555555,325555000,325555555,325555000,14
2024/2/27,323333333,323333000,323333330,323333000,26
2024/2/28,320000000,318888888,319988888,320000000,21
2024/2/29,323333333,323333211,323333211,323333333,35
2024/3/1,324444443,290000000,290000000,322222222,24
2024/3/2,322220000,311111111,322220000,322111111,9
2024/3/3,310000000,297775757,300000000,297775757,18
2024/3/4,310000000,288888888,297777777,288888888,105
2024/3/5,288888887,276666666,277777767,288800000,111
2024/3/6,288887888,260000000,279800000,260000000,103
2024/3/7,266666666,255555550,255555550,266666666,94
2024/3/8,322211111,255555555,255555555,322211111,42
2024/3/9,254444443,254444440,254444440,254444443,5
2024/3/10,272333333,252222221,254333332,252222221,6
2024/3/11,249999999,249999999,249999999,249999999,8
2024/3/12,272333333,249999999,249999999,272333333,136
2024/3/13,310000000,279999999,288888887,300099999,10
2024/3/16,300099999,298888888,300099999,298888888,32
2024/3/17,299969999,299969999,299969999,299969999,4
2024/3/18,309999999,298000000,299009999,298000000,12
2024/3/19,299000000,295555555,298000000,299000000,14
2024/3/20,297999999,277777777,277777777,297999999,2
2024/3/21,297777777,291111111,297777777,295555555,6
2024/3/22,297999998,293354443,293555555,293354443,9
2024/3/23,286000000,283210000,286000000,283210000,28
2024/3/24,285233333,281110000,281209999,285233333,27
